request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_47,27355136.14,not_affordable,not_recommended,none,,none,Requested: IDR 38114000. Safe to pay today: IDR 27355136.14. Current available balance: IDR 112924150; required minimum balance: IDR 30049000. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2025-06-19 while preserving the 90-day minimum-balance requirement. Included recurring rent expense: IDR 12065000.
request_48,45700.00,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Requested: INR 45700. Safe to pay today: INR 45700.00. Current available balance: INR 188065; required minimum balance: INR 71300. Recommendation: full_payment. Payment plan: 2026-07-25:45700. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: INR 25200.
request_49,14336932.32,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,Requested: IDR 34333000. Safe to pay today: IDR 14336932.32. Current available balance: IDR 40504493.34; required minimum balance: IDR 20275700. Recommendation: installments. Payment plan: 2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2024-04-15. Included recurring rent expense: IDR 9747000.
request_50,43900.00,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Requested: INR 43900. Safe to pay today: INR 43900.00. Current available balance: INR 247325.5; required minimum balance: INR 99700. Recommendation: full_payment. Payment plan: 2025-08-06:43900. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: INR 38800.
request_51,2191000.00,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Requested: IDR 2191000. Safe to pay today: IDR 2191000.00. Current available balance: IDR 35347700; required minimum balance: IDR 7811000. Recommendation: full_payment. Payment plan: 2026-01-03:2191000. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: IDR 2945000.
request_52,21927.86,affordable_later,wait,2024-06-15:28870,2024-06-15,none,Requested: INR 28870. Safe to pay today: INR 21927.86. Current available balance: INR 75320; required minimum balance: INR 41500. Recommendation: wait. Payment plan: 2024-06-15:28870. The selected full payment becomes safe later within the forecast horizon. Included confirmed salary: INR 69000 on 2024-06-15. Included recurring rent expense: INR 21100.
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,Requested: USD 1699.2. Safe to pay today: USD 714.42. Current available balance: USD 3523.42; required minimum balance: USD 2100. Recommendation: installments. Payment plan: 2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2025-11-15. Included recurring rent expense: USD 774.
request_54,4967.48,not_affordable,not_recommended,none,,none,Requested: ZAR 121528. Safe to pay today: ZAR 4967.48. Current available balance: ZAR 53581.4; required minimum balance: ZAR 37000. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2026-08-21 while preserving the 90-day minimum-balance requirement. Included confirmed salary: ZAR 42460 on 2026-07-15. Included recurring housing expense: ZAR 3630.
request_55,133498.57,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,Requested: INR 218600. Safe to pay today: INR 133498.57. Current available balance: INR 314341.19; required minimum balance: INR 124300. Recommendation: installments. Payment plan: 2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2026-06-15. Included recurring rent expense: INR 54400.
request_56,665.98,affordable_with_plan,partial_payment,2025-02-03:665.98|2025-02-15:215.58,2025-02-15,none,Requested: USD 881.56. Safe to pay today: USD 665.98. Current available balance: USD 3432.36; required minimum balance: USD 2100. Recommendation: partial_payment. Payment plan: 2025-02-03:665.98|2025-02-15:215.58. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2025-02-15. Included confirmed salary: USD 2388 on 2025-02-15. Included recurring housing expense: USD 212.
request_57,12668.08,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Requested: ZAR 61446. Safe to pay today: ZAR 12668.08. Current available balance: ZAR 63914.6; required minimum balance: ZAR 42700. Recommendation: wait. Payment plan: 2026-05-15:61446. The selected full payment becomes safe later within the forecast horizon. Included recurring rent expense: ZAR 15004.
request_58,16226000.00,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Requested: IDR 16226000. Safe to pay today: IDR 16226000.00. Current available balance: IDR 42146065; required minimum balance: IDR 14433900. Recommendation: full_payment. Payment plan: 2024-12-07:16226000. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: IDR 7676000.
request_59,140600.00,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Requested: INR 140600. Safe to pay today: INR 140600.00. Current available balance: INR 723245.99; required minimum balance: INR 132600. Recommendation: installments. Payment plan: 2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2025-05-04. Included recurring rent expense: INR 53800.
request_60,146.29,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Requested: USD 199.89. Safe to pay today: USD 146.29. Current available balance: USD 683.69; required minimum balance: USD 400. Recommendation: wait. Payment plan: 2026-01-15:199.89. The selected full payment becomes safe later within the forecast horizon. Included recurring rent expense: USD 122.4.
request_61,29062.00,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Requested: ZAR 29062. Safe to pay today: ZAR 29062.00. Current available balance: ZAR 147470.23; required minimum balance: ZAR 36700. Recommendation: installments. Payment plan: 2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2024-03-03. Included recurring rent expense: ZAR 11792.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Requested: USD 404.23. Safe to pay today: USD 404.23. Current available balance: USD 5151.44; required minimum balance: USD 1300. Recommendation: full_payment. Payment plan: 2025-08-05:404.23. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: USD 530.4.
request_63,40587.91,affordable_with_plan,partial_payment,2026-07-07:40587.91|2026-08-15:303312.09,2026-08-15,none,Requested: INR 343900. Safe to pay today: INR 40587.91. Current available balance: INR 251795; required minimum balance: INR 153500. Recommendation: partial_payment. Payment plan: 2026-07-07:40587.91|2026-08-15:303312.09. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2026-08-15. Included confirmed salary: INR 189992.40 on 2026-07-15. Included recurring rent expense: INR 50000.
request_64,47355.03,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,Requested: INR 63700. Safe to pay today: INR 47355.03. Current available balance: INR 98573.01; required minimum balance: INR 36100. Recommendation: installments. Payment plan: 2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2024-06-15. Included recurring rent expense: INR 12800.
request_65,6460.79,not_affordable,not_recommended,none,,none,Requested: ZAR 54340. Safe to pay today: ZAR 6460.79. Current available balance: ZAR 28524; required minimum balance: ZAR 15500. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2025-11-25 while preserving the 90-day minimum-balance requirement. Included recurring housing expense: ZAR 2519.
request_66,22200.00,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Requested: INR 22200. Safe to pay today: INR 22200.00. Current available balance: INR 302520; required minimum balance: INR 80700. Recommendation: full_payment. Payment plan: 2026-04-03:22200. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: INR 26300.
request_67,475.28,affordable_later,wait,2024-09-15:2094,2024-09-15,none,Requested: USD 2094. Safe to pay today: USD 475.28. Current available balance: USD 1992.54; required minimum balance: USD 1200. Recommendation: wait. Payment plan: 2024-09-15:2094. The selected full payment becomes safe later within the forecast horizon. Included confirmed salary: USD 2047.68 on 2024-09-15. Included recurring rent expense: USD 514.8.
request_68,1631.00,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-23,none,Requested: USD 2091.6. Safe to pay today: USD 1631.00. Current available balance: USD 3657.83; required minimum balance: USD 1500. Recommendation: installments. Payment plan: 2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2025-02-23. Included confirmed salary: USD 2496 on 2025-02-23. Included recurring rent expense: USD 750.
request_69,529.10,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Requested: EUR 529.1. Safe to pay today: EUR 529.10. Current available balance: EUR 1639.5; required minimum balance: EUR 700. Recommendation: full_payment. Payment plan: 2026-01-04:529.1. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: EUR 388.3.
request_70,59952.21,affordable_later,wait,2025-01-15:243900,2025-01-15,none,Requested: INR 243900. Safe to pay today: INR 59952.21. Current available balance: INR 208360; required minimum balance: INR 115000. Recommendation: wait. Payment plan: 2025-01-15:243900. The selected full payment becomes safe later within the forecast horizon. Included recurring rent expense: INR 66100.
request_71,1057791.76,not_affordable,not_recommended,none,,none,Requested: IDR 21451000. Safe to pay today: IDR 1057791.76. Current available balance: IDR 16369850; required minimum balance: IDR 8884800. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2025-05-28 while preserving the 90-day minimum-balance requirement. Included confirmed salary: IDR 11019997.68 on 2025-05-15. Included recurring rent expense: IDR 3648000.
request_72,7792.06,not_affordable,not_recommended,none,,none,Requested: ZAR 11330. Safe to pay today: ZAR 7792.06. Current available balance: ZAR 30337.13; required minimum balance: ZAR 12200. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2026-07-14 while preserving the 90-day minimum-balance requirement. Included confirmed salary: ZAR 18700 on 2026-07-15. Included recurring rent expense: ZAR 4312.
request_73,71400.00,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Requested: INR 71400. Safe to pay today: INR 71400.00. Current available balance: INR 278542.5; required minimum balance: INR 103200. Recommendation: full_payment. Payment plan: 2023-01-20:71400. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: INR 37300.
request_74,5010.00,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Requested: ZAR 5010. Safe to pay today: ZAR 5010.00. Current available balance: ZAR 70056.9; required minimum balance: ZAR 21900. Recommendation: full_payment. Payment plan: 2025-08-04:5010. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: ZAR 7590.
request_75,28270.00,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Requested: ZAR 28270. Safe to pay today: ZAR 28270.00. Current available balance: ZAR 145867.87; required minimum balance: ZAR 39000. Recommendation: installments. Payment plan: 2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2026-04-06. Included recurring rent expense: ZAR 15642.
request_76,841.52,not_affordable,not_recommended,none,2024-08-15,none,Requested: USD 4455.6. Safe to pay today: USD 841.52. Current available balance: USD 3338.8; required minimum balance: USD 1800. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2024-07-30 while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2024-08-15. Included recurring rent expense: USD 694.8.
request_77,60700.00,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Requested: INR 60700. Safe to pay today: INR 60700.00. Current available balance: INR 189860.5; required minimum balance: INR 82200. Recommendation: full_payment. Payment plan: 2025-11-05:60700. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: INR 25200.
request_78,48473.25,affordable_with_plan,full_payment,2025-10-02:50200,2025-10-15,reduce_to:event_7225:1480,Requested: INR 50200. Safe to pay today: INR 48473.25. Current available balance: INR 156676; required minimum balance: INR 55200. Recommendation: full_payment. Payment plan: 2025-10-02:50200. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2025-10-15. Required spending changes: reduce_to:event_7225:1480. Included recurring rent expense: INR 28200.
request_79,351.89,affordable_with_plan,partial_payment,2024-09-04:351.89|2024-10-15:1799.71,2024-10-15,none,Requested: EUR 2151.6. Safe to pay today: EUR 351.89. Current available balance: EUR 2104.08; required minimum balance: EUR 1000. Recommendation: partial_payment. Payment plan: 2024-09-04:351.89|2024-10-15:1799.71. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2024-10-15. Included confirmed salary: EUR 1313.76 on 2024-09-15. Included recurring rent expense: EUR 386.1.
request_80,120145.92,not_affordable,not_recommended,none,2025-03-15,none,Requested: INR 217500. Safe to pay today: INR 120145.92. Current available balance: INR 280125; required minimum balance: INR 121300. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2025-02-21 while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2025-03-15. Included recurring rent expense: INR 52000.
request_81,2076.00,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Requested: USD 2076. Safe to pay today: USD 2076.00. Current available balance: USD 5028.25; required minimum balance: USD 1600. Recommendation: full_payment. Payment plan: 2026-07-03:2076. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: USD 926.4.
request_82,499.92,affordable_later,wait,2025-01-15:1405.2,2025-01-15,none,Requested: USD 1405.2. Safe to pay today: USD 499.92. Current available balance: USD 2202.4; required minimum balance: USD 1100. Recommendation: wait. Payment plan: 2025-01-15:1405.2. The selected full payment becomes safe later within the forecast horizon. Included recurring rent expense: USD 405.6.
request_83,7242.69,not_affordable,not_recommended,none,,none,Requested: INR 156200. Safe to pay today: INR 7242.69. Current available balance: INR 68930; required minimum balance: INR 37800. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2025-06-17 while preserving the 90-day minimum-balance requirement. Included confirmed salary: INR 62000 on 2025-05-15. Included recurring housing expense: INR 6700.
request_84,32521.23,affordable_later,wait,2026-05-15:95400,2026-05-15,none,Requested: INR 95400. Safe to pay today: INR 32521.23. Current available balance: INR 153945; required minimum balance: INR 91300. Recommendation: wait. Payment plan: 2026-05-15:95400. The selected full payment becomes safe later within the forecast horizon. Included recurring rent expense: INR 26200.
request_85,651530.30,not_affordable,not_recommended,none,,none,Requested: IDR 19304000. Safe to pay today: IDR 651530.30. Current available balance: IDR 8818420; required minimum balance: IDR 6396300. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2024-04-26 while preserving the 90-day minimum-balance requirement. Included recurring rent expense: IDR 2527000.
request_86,46300.00,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Requested: INR 46300. Safe to pay today: INR 46300.00. Current available balance: INR 228639.5; required minimum balance: INR 84900. Recommendation: full_payment. Payment plan: 2025-08-03:46300. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included confirmed salary: INR 124000 on 2025-08-23. Included recurring rent expense: INR 38800.
request_87,17694.45,not_affordable,not_recommended,none,,none,Requested: INR 487900. Safe to pay today: INR 17694.45. Current available balance: INR 278750; required minimum balance: INR 185900. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2026-03-15 while preserving the 90-day minimum-balance requirement. Included confirmed salary: INR 251000 on 2026-01-15. Included recurring rent expense: INR 74900.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Requested: ZAR 26092. Safe to pay today: ZAR 11959.79. Current available balance: ZAR 41357.89; required minimum balance: ZAR 25800. Recommendation: installments. Payment plan: 2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2024-06-15. Included recurring rent expense: ZAR 9614.
request_89,10945379.21,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Requested: IDR 13756000. Safe to pay today: IDR 10945379.21. Current available balance: IDR 27331862.01; required minimum balance: IDR 12534700. Recommendation: installments. Payment plan: 2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2025-11-15. Included confirmed salary: IDR 15200000 on 2025-11-15. Included recurring rent expense: IDR 3819000.
request_90,2560.00,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Requested: ZAR 2560. Safe to pay today: ZAR 2560.00. Current available balance: ZAR 31629.5; required minimum balance: ZAR 7600. Recommendation: full_payment. Payment plan: 2026-07-06:2560. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: ZAR 3234.
request_91,688.89,affordable_later,wait,2024-10-15:1927.2,2024-10-15,none,Requested: EUR 1927.2. Safe to pay today: EUR 688.89. Current available balance: EUR 4209.6; required minimum balance: EUR 2100. Recommendation: wait. Payment plan: 2024-10-15:1927.2. The selected full payment becomes safe later within the forecast horizon. Included recurring rent expense: EUR 695.2.
request_92,34034.00,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Requested: ZAR 34034. Safe to pay today: ZAR 34034.00. Current available balance: ZAR 78664.47; required minimum balance: ZAR 28100. Recommendation: full_payment. Payment plan: 2025-02-05:34034. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring housing expense: ZAR 3762.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Requested: USD 1729.2. Safe to pay today: USD 1729.20. Current available balance: USD 3962.1; required minimum balance: USD 1900. Recommendation: full_payment. Payment plan: 2026-04-07:1729.2. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: USD 808.8.
request_94,562.04,affordable_with_plan,full_payment,2024-12-04:572,,stop:event_8764,Requested: EUR 572. Safe to pay today: EUR 562.04. Current available balance: EUR 2663.6; required minimum balance: EUR 600. Recommendation: full_payment. Payment plan: 2024-12-04:572. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Required spending changes: stop:event_8764. Included recurring rent expense: EUR 287.1.
request_95,28720.29,not_affordable,not_recommended,none,,none,Requested: INR 553000. Safe to pay today: INR 28720.29. Current available balance: INR 283365; required minimum balance: INR 145500. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2025-07-14 while preserving the 90-day minimum-balance requirement. Included confirmed salary: INR 251000 on 2025-05-23. Included recurring rent expense: INR 62900.
request_96,36133.35,not_affordable,not_recommended,none,,none,Requested: INR 90200. Safe to pay today: INR 36133.35. Current available balance: INR 161635.49; required minimum balance: INR 56500. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2026-03-12 while preserving the 90-day minimum-balance requirement. Included confirmed salary: INR 80000 on 2026-01-15. Included recurring rent expense: INR 21400.
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Requested: ZAR 23496. Safe to pay today: ZAR 2929.44. Current available balance: ZAR 38565.89; required minimum balance: ZAR 29700. Recommendation: installments. Payment plan: 2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2024-03-15. Included confirmed salary: ZAR 35420 on 2024-03-15. Included recurring rent expense: ZAR 11792.
request_98,7184.21,affordable_later,wait,2025-08-15:27148,2025-08-15,none,Requested: ZAR 27148. Safe to pay today: ZAR 7184.21. Current available balance: ZAR 47244.7; required minimum balance: ZAR 30000. Recommendation: wait. Payment plan: 2025-08-15:27148. The selected full payment becomes safe later within the forecast horizon. Included confirmed salary: ZAR 36080 on 2025-08-15. Included recurring rent expense: ZAR 7986.
